timestamp,signal_quality,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,raw_eeg
1783500523.249,0,0,0,0,0,1212,15531,8191,0,0,0,-6
1783500523.279,0,0,0,0,0,1212,15531,8191,0,0,0,-13
1783500523.307,0,0,0,0,0,1212,15531,8191,0,0,0,15
1783500523.337,0,0,0,0,0,1179,15531,8191,0,0,0,-3
1783500523.367,0,0,0,0,0,1048,15531,8191,0,0,0,-14
1783500523.397,0,0,0,0,0,1212,15531,8191,0,0,0,5
1783500523.425,0,0,0,0,0,1212,15531,8191,0,0,0,0
1783500523.456,0,0,0,0,0,1179,15531,8191,0,0,0,23
1783500523.485,0,0,0,0,0,1212,15531,8191,0,0,0,4
1783500523.514,0,0,0,0,0,1212,15531,8191,0,0,0,-6
1783500523.542,0,0,0,0,0,1212,15531,8191,0,0,0,21
1783500523.571,0,0,0,0,0,1179,15531,8191,0,0,0,19
1783500523.6,0,0,0,0,0,1212,15531,8191,0,0,0,-2
1783500523.628,0,0,0,0,0,1212,15531,8191,0,0,0,-2
1783500523.658,0,0,0,0,0,1212,15531,8191,0,0,0,5
1783500523.688,0,0,0,0,0,1146,15531,8191,0,0,0,-17
1783500523.718,0,0,0,0,0,1212,15531,8191,0,0,0,15
1783500523.747,0,0,0,0,0,1114,15531,8191,0,0,0,-1
1783500523.776,0,0,0,0,0,1212,15531,8191,0,0,0,9
1783500523.804,0,0,0,0,0,1212,15531,8191,0,0,0,-5
1783500523.835,22,0,0,30015,54656,0,0,65535,64617,0,0,-5
1783500523.865,41,0,0,54983,54590,0,0,65535,64617,0,0,-20
1783500523.895,50,0,0,65535,54066,0,0,65535,64617,0,0,-27
1783500523.927,50,0,0,65535,53542,0,0,65535,64551,0,0,-22
1783500523.957,50,0,0,65535,53148,0,0,65535,64551,0,0,23
1783500523.989,50,0,0,65535,52690,0,0,65535,64551,0,0,3
1783500524.019,50,0,0,65535,52296,0,0,65535,64617,0,0,1
1783500524.049,50,0,0,65535,52034,0,0,65535,64617,0,0,28
1783500524.079,50,0,0,65535,51707,0,0,65535,64617,0,0,44
1783500524.111,50,0,0,65535,51576,0,0,65535,64617,0,0,52
1783500524.141,50,0,0,65535,51182,0,0,65535,64617,0,0,61
1783500524.174,50,0,0,65535,49609,0,0,65535,64617,0,0,51
1783500524.204,50,0,0,65535,49806,0,0,65535,64617,0,0,76
1783500524.246,50,0,0,65535,48495,0,0,65535,64289,0,0,56
1783500524.28,50,0,0,65535,46267,0,0,65535,64486,0,0,74
1783500524.309,50,0,0,65535,46595,0,0,65535,64486,0,0,10
1783500524.34,50,0,0,65535,46398,0,0,65535,64486,0,0,8
1783500524.37,50,0,0,65535,45284,0,0,65535,64420,0,0,-17
1783500524.402,50,0,0,65535,43777,0,0,65535,64420,0,0,5
1783500524.434,50,0,0,65535,44891,0,0,65535,64420,0,0,-36
1783500524.464,50,0,0,65535,43646,0,0,65535,64420,0,0,-41
1783500524.495,50,0,0,65535,43580,0,0,65535,64420,0,0,-49
1783500524.525,50,0,0,65535,42532,0,0,65535,64551,0,0,-60
1783500524.556,50,0,0,65535,41221,0,0,65535,64551,0,0,-61
1783500524.587,50,0,0,65535,42139,0,0,65535,64551,0,0,-48
1783500524.62,50,0,0,65535,41024,0,0,65076,64551,0,0,-49
1783500524.652,50,0,0,65535,41352,0,0,65535,64551,0,0,-40
1783500524.682,49,0,0,65010,38927,0,0,60030,64486,0,0,-44
1783500524.711,50,0,0,65535,40893,0,0,64683,64486,0,0,-47
1783500524.741,50,0,0,65535,41614,0,0,65535,64551,0,0,-35
